회사명,종목코드,영업이익(억),부채비율(%),시가총액(원)
삼화콘덴서공업,001820,11.58,27.51,279100000000
수산세보틱스,017550,7.89,88.91,119700000000
수산인더스트리,126720,16.67,24.65,347100000000
에스원,012750,8.27,36.29,2876500000000
엠앤씨솔루션,484870,6.82,79.62,1482900000000
오뚜기,007310,5.83,83.3,1565100000000
오리온,271560,16.24,27.75,4329200000000
케이씨텍,281820,15.95,13.46,723100000000
케이티앤지,033780,21.66,31.45,16319800000000
콜마홀딩스,024720,5.08,49.25,470200000000
텔코웨어,078000,6.71,18.43,129200000000
한국수출포장공업,002200,7.53,23.0,117000000000
한국토지신탁,034830,25.06,67.63,309600000000
한미약품,128940,11.87,90.7,3580700000000
한일시멘트,300720,7.93,56.24,1355400000000
한전산업,130660,5.39,64.45,405200000000
현대홈쇼핑,057050,5.26,42.03,637200000000
휴스틸,005010,28.05,32.69,243000000000
KG모빌리언스,046440,14.59,49.87,201100000000
KG에코솔루션,151860,7.2,94.71,292300000000
KH바텍,060720,10.51,50.32,277300000000
KZ정밀,036560,13.44,21.04,251700000000
PS일렉트로닉스,332570,8.42,91.41,164200000000
SFA반도체,036540,8.99,39.46,544400000000
녹십자웰빙,234690,7.65,56.24,170100000000
대보마그네틱,290670,24.42,26.75,142900000000
대진첨단소재,393970,6.28,80.7,129300000000
더블유씨피,393890,22.54,15.36,280200000000
덕산테코피아,317330,8.34,46.85,393200000000
랩지노믹스,084650,45.73,19.07,177100000000
바디텍메드,206640,20.89,11.91,329000000000
바이오에프디엔씨,251120,30.78,11.44,163400000000
바이오플러스,099430,44.56,27.45,422900000000
베뉴지,019010,19.16,76.42,112500000000
빅솔론,093190,18.63,18.45,112500000000
삼아제약,009300,22.34,12.5,113600000000
성일하이텍,365340,17.9,44.4,492100000000
세명전기,017510,7.32,11.06,183000000000
스튜디오미르,408900,12.96,21.04,160000000000
실리콘투,257720,8.62,34.06,2786400000000
아이디스홀딩스,054800,10.79,45.66,118800000000
에이치피오,357230,8.92,12.84,106300000000
에이티넘인베스트,021080,34.81,16.54,118100000000
에치에프알,230240,24.62,74.85,224000000000
엑세스바이오,950130,45.38,41.43,198400000000
엑셈,205100,22.73,17.34,149700000000
엠게임,058630,40.93,25.02,130900000000
엠로,058970,11.06,44.55,555600000000
오상헬스케어,036220,25.43,24.66,263800000000
와이씨,232140,12.76,46.38,948400000000
와이엠텍,273640,30.2,7.2,108700000000
워트,396470,29.36,8.93,134100000000
원익머트리얼즈,104830,15.28,30.91,313900000000
윈스테크넷,136540,21.67,16.52,155500000000
유니셈,036200,11.47,17.7,257900000000
유진테크,084370,17.27,25.18,1164100000000
이노와이어리스,073490,10.79,41.68,146900000000
이녹스첨단소재,272290,19.84,22.0,526900000000
인텍플러스,064290,16.29,72.98,124700000000
제룡산업,147830,16.2,12.36,142000000000
제룡전기,033100,18.57,24.09,587900000000
코메론,049430,18.54,6.79,104100000000
태웅로직스,124560,8.78,79.19,124100000000
테라젠이텍스,066700,6.2,56.37,111500000000
테크윙,089030,21.56,98.83,1090700000000
티씨케이,064760,39.75,15.27,1319300000000
티에프이,425420,10.22,36.8,375000000000
휴메딕스,200670,21.14,63.28,664800000000
DL이앤씨,375500,6.63,91.26,1648300000000
F&F 홀딩스,007700,26.76,24.44,699400000000
HD현대에너지솔루션,322000,9.16,71.11,491100000000
LG생활건강,051900,9.9,33.54,4771400000000
LX세미콘,108320,14.66,35.7,920600000000
POSCO홀딩스,005490,5.72,68.92,24886900000000
SNT모티브,064960,10.71,39.41,897100000000
국도화학,007690,6.05,74.68,353800000000
농심홀딩스,072710,7.83,28.95,375700000000
대한제강,084010,10.06,52.86,373500000000
롯데정밀화학,004000,16.41,18.12,1070700000000
모토닉,009680,6.16,7.76,284700000000
비에이치,090460,7.81,74.69,596900000000
삼화전기,009470,5.71,56.22,177900000000
세아제강지주,003030,14.34,80.34,824200000000
송원산업,004430,13.92,78.33,256300000000
신대양제지,016590,7.52,34.57,407400000000
신흥,004080,8.85,31.59,133000000000
유나이티드,033270,18.37,23.69,337300000000
유니드,014830,10.53,65.19,527900000000
이연제약,102460,6.25,95.63,208200000000
일양약품,007570,5.75,69.45,247400000000
조선내화,462520,11.4,98.36,167800000000
케이씨,029460,11.79,27.05,311600000000
케이씨씨글라스,344820,8.26,53.16,489500000000
코스모신소재,005070,6.69,79.66,1658000000000
코웨이,021240,17.57,88.8,7536100000000
팬오션,028670,12.3,68.03,2191700000000
하이스틸,071090,5.33,96.34,101800000000
한국앤컴퍼니,000240,22.38,11.55,2074300000000
한미반도체,042700,34.15,16.75,8864000000000
한섬,020000,10.91,26.05,338600000000
현대제철,004020,5.91,92.39,4403700000000
현대코퍼레이션홀딩스,227840,8.69,32.1,117300000000
AP위성,211270,8.38,28.06,184000000000
HK이노엔,195940,6.21,54.88,1274800000000
JYP Ent.,035900,27.94,35.02,2817700000000
SOOP,067160,28.51,92.86,902300000000
가온칩스,399720,9.0,34.55,516200000000
네오팜,092730,25.21,9.24,300500000000
농우바이오,054050,8.34,30.89,134200000000
대봉엘에스,078140,8.74,25.39,150600000000
라온시큐어,042510,9.16,70.51,118800000000
링크솔루션,474650,15.81,18.44,118300000000
미스터블루,207760,9.64,99.87,148000000000
바이오니아,064550,5.28,22.66,371700000000
블랙야크아이앤씨,478560,19.31,78.66,102000000000
